Book Name,Author,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes),cleaned_description,cluster
Night Train at Deoli (Hindi Edition),Ruskin Bond,4.4,17.0,668.0,2,Short Stories (Books),403.0,night train deoli collection story set valley uttarakhand place author grew the story revolve around life simple folk live serene life away hustle bustle city these simple heartwarming story sure hit chord bring smile face listener,2
Silence: The Power of Quiet in a World Full of Noise,Thich Nhat Hanh,4.7,367.0,615.0,2,Religion & Spirituality (Books),199.0,we spend lot time looking happiness world right around u full wonder but heart mind full noise ca always hear call life love to hear call respond need silence,3
Living from a Place of Surrender: The Untethered Soul in Action,Michael A. Singer,4.0,2.0,820.0,455,"d, Body & Spirit",556.0,a program change entire perspective life,3
"The Mark of Athena: Heroes of Olympus, Book 3",Rick Riordan,4.7,5181.0,888.0,-1,",            5 star,          ,            ,              80%,            ,",908.0,the explosive third part rick riordan series set world percy jackson available unabridged audio download one fatal prophecy seven brave demigod a quest find close door death,3
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,4.6,239.5,1055.0,820,Physical Illness & Disease,647.0,neuroscientist ramachandran internationally renowned uncovering answer deep quirky question human nature scientist dared address his bold insight brain matched stunning simplicity experiment using tool cotton swab glass water mirror,3
Love in the Time of Cholera,Gabriel García Márquez,4.3,1419.0,952.0,1,Literary Fiction,941.0,audie award finalist classic,1
World War Z,Max Brooks,4.4,6078.5,721.0,2,Horror (Books),836.0,visceral disturbing chilling realism world war z perhaps famous work world foremost expert undead counterpart paired equally gripping the zombie survival guide better preparation inevitable uprising,3
My Hanuman Chalisa,Devdutt Pattnaik,4.5,409.0,501.0,1,duism (Books),279.0,reflecting one hinduism popular prayer positive energy,3
Permanent Record,Edward Snowden,4.6,4919.0,323.0,191,Privacy & Surveillance Studies,691.0,edward snowden man risked everything expose u government system mass surveillance reveals first time story life including helped build system motivated try bring,2
Critical Chain: Project Management and the Theory of Constraints,Eliyahu M. Goldratt,4.6,3.0,820.0,1,Textbooks & Study Guides,447.0,a young untested team problem solver challenged saving company move board room classroom search answer find lively open discourse innovative professor this gripping business novel project management eliyahu goldratt novel done production marketing,3
Essential Meditations with Eckhart Tolle: Guided Sessions and Practical Teachings,Eckhart Tolle,5.0,3.0,1149.0,2,"d, Body & Spirit",458.0,discover timeless presence beyond thought collection meditation eckhart tolle,3
"Angry God: All Saints High, Book 3",L.J. Shen,4.7,516.0,836.0,1,Romance (Books),685.0,vaughn spencer they call angry god to nothing heartless prince,3
Feel Better In 5: Your Daily Plan to Supercharge Your Health,Dr Rangan Chatterjee,4.6,1064.5,888.0,2,g & Wellness,321.0,brought penguin,4
Million Dollar Habits: 12 Power Practices to Double and Triple Your Income,Brian Tracy,3.8,5.0,1774.0,1,ance,426.0,accelerate income almost overnight,3
Business Sutra: A Very Indian Approach to Management,Devdutt Pattanaik,4.5,205.0,836.0,2,Analysis & Strategy,686.0,in landmark book author leadership coach mythologist devdutt pattanaik show despite veneer objectivity modern management rooted western belief obsessed accomplishing rigid objective increasing shareholder value by contrast indian way business apparent indian mythology longer seen practice accommodates subjectivity diversity offer inclusive empathetic way achieving success great value placed darshan see world relationship lakshmi goddess wealth,3
Geronimo Stilton #25: The Search for Sunken Treasure & #26: The Mummy with No Name,Geronimo Stilton,-1.0,267.25,469.0,-1,",          5 star,        ,          (0%),        ,          ,            0%,          ,",139.0,the search sunken treasure holey cheese adventure i ratlápagos island family search longlost buried treasure but oh i hate traveling being ship middle sea idea time and i beginning suspect one searching treasure,3
Sense and Sensibility,Jane Austen,4.4,2768.5,836.0,427,Classic Literature,685.0,in audible exclusive production academy award nominee rosamund pike gone girl narrates one jane austen beloved work sense sensibility in timeless tale misguided romance heartbreak two teenage heroine must overcome pitfall georgian england high society order achieve love happiness seek the admiration pike austen work shown clearly passionate delivery austen first published novel,3
Black Friday: The True Story of the Bombay Bomb Blasts,Hussain Zaidi,4.5,96.0,879.0,2,United States Politics & Government,543.0,black friday s hussain zaidi ghastly account one biggest terrorist attack bombay the book chronicle devastation caused life property due attack trauma physical mental undergone people large post terrorist attack consequent rift community hindu muslim hatred clash often turned extremely violent,3
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,4.5,1463.0,1093.0,463,Philosophy Movements,1189.0,penguin present audiobook edition enlightenment now steven pinker read arthur morey includes bonus pdf graph,0
Competing in the Age of AI: Strategy and Leadership When Algorithms and Networks Run the World,Marco Iansiti,4.7,98.5,586.0,1,istration,578.0,in industry industry data analytics process transforming nature work while often still treat ai domain specific skill business function sector entered new era ai challenging concept firm organization exhibit new operating architecture redefining create capture share deliver value,3
The Second Sex,Simone de Beauvoir,4.5,422.0,1884.0,2,Textbooks & Study Guides,2349.0,unabridged available audio first time,3
Naraz [Angry],Rahat Indori,4.5,262.5,233.0,2,Poetry (Books),98.0,naraz many reference reflect resenting virtue rahat indori a lyricist film par excellence master literature college famous poet loved also accomplishes playing colour line besides trait also able discern inner outer dilemma people political social backdrop,3
Looking for Alaska,John Green,4.4,7099.0,1005.0,2,g for Teens,400.0,now hulu limited series,3
"Technical Analysis for Dummies, 3rd Edition",Barbara Rockefeller,-1.0,267.25,703.0,2,Analysis & Strategy,695.0,a simple straightforward guide fundamental technical analysis,3
Everyday Ayurveda: Daily Habits That Can Change Your Life in a Day,Bhaswati Bhattacharya,4.3,332.0,879.0,877,Essays (Books),619.0,do sometimes feel tired lethargic spiritless how ayurveda help simple practisable manner,3
"The Feynman Lectures on Physics: Volume 1, Quantum Mechanics",Richard P. Feynman,4.6,389.0,938.0,748,Education (Books),331.0,volume make beginning course quantum mechanic includes chapter basic physic quantum behavior relationship wave particle viewpoint probability amplitude spin one spin particle,3
The Law Book: Big Ideas Simply Explained,DK,5.0,1.0,888.0,2,Society & Culture (Books),943.0,discover big idea behind history important legal ruling milestone law earliest civilisation century,3
Canada Is Awesome: A Little Book About a Big Country,Neil Pasricha,-1.0,267.25,0.0,38,Personal Success,34.0,a personal essay make canada awesome neil pasricha author the book awesome audible original how get back up,3
Behave,Robert M Sapolsky,4.7,1534.0,1093.0,1,History of Science,1587.0,brought penguin,4
Zen and the Art of Motorcycle Maintenance (Dramatised),Robert M. Pirsig,3.1,54.0,615.0,763,Classic Fiction (Books),100.0,james purefoy star bbc radio dramatisation robert pirsig philosophical novel one important influential book past zen art motorcycle maintenance tell iconic story father son motorcycle trip across america yet also describes personal philosophical journey asking question along way live meaningful life,2
7 Secrets of Vishnu: The Hindu Trinity Series,Devdutt Pattanaik,4.5,114.5,501.0,749,Buddhism (Books),245.0,for hindu vishnu god inspires man discover humanity engaging world artist visualized curlyhaired dark complexioned man smile lip sparkle eye draped yellow silk garlanded forest flower bedecked earring anointed sandal paste reclines thousand hooded serpent float ocean milk ride golden hawk bearing arm conchshell wheel mace lotus poet say awake world take shape asleep world cease lakshmi goddess wealth follows wherever go to made offering rich creamy butter sometimes upright ram worshipped across india balaji shreenathji jagannath ranganath badrinath locked story symbol ritual vishnu wisdom ancestor transmitted hundred year this book attempt unlock seven secret relevant even modern time,3
Chanakya In the Classroom: Life Lessons for Students,Radhakrishnan Pillai,4.3,62.0,501.0,1,Personal Development & Self-Help,185.0,good morning chanakya sir,3
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher W. Mayer,4.5,178.0,668.0,2,ess & Economics,379.0,this book these stock return every invested that mean investment turn million chris mayer help find,3
Jane Eyre,Charlotte Bronte,4.5,7544.0,1338.0,1,Classic Fiction (Books),1150.0,i think reason struck jane eyre charlotte brontë manages relate expertly mean human never change narrator thandie newton,3
"How I Made $2,000,000 in the Stock Market",Nicolas Darvas,4.5,722.5,328.0,253,Analysis & Strategy,209.0,hungarian birth nicolas darvas trained economist university budapest reluctant remain hungary either nazi soviet took fled age forged exit visa pound sterling stave hunger istanbul turkey during hour dancer read book market great speculator spending much eight hour day studying,3
The Complete Stories of Sherlock Holmes,Arthur Conan Doyle,4.6,507.5,2251.0,181,Anthologies (Books),4248.0,here one recording every sherlock holmes story ever written sir arthur conan doyle originally appearing serial form famous story presented order first published beginning included definitive awardwinning collection four novel short story total title the short story aggregated five named collection originally published book form the content recording presented date publication follows a study scarlett novel hour minutesthe sign four novel hour minutesadventures sherlock holmes short story hour minutesthe memoir sherlock holmes short story hour minutesthe return sherlock holmes short story hour minutesthe hound baskervilles novel hour minutesthe valley fear novel hour minuteshis last bow short story hour minutesthe case book sherlock holmes short story hour,2
Gone with the Wind,Margaret Mitchell,4.6,3560.5,1548.0,412,Classic Fiction (Books),2831.0,when gone wind appeared became overnight sensation nothing like american literature ever seen it went win pulitzer prize become one celebrated film time it sold million copy worldwide translated language,3
The 21 Day Happiness Challenge - Learn How to Love Your Life and Become a Happier Person in Just 21 Days,21-Day Challenges,4.5,29.0,233.0,773,Personal Development & Self-Help,73.0,the happiness challenge fifth book challenge series,3
Rarang Dhang: Marathi Audiobook,Prabhakar Pendharkar,-1.0,267.25,375.0,769,Contemporary Fiction (Books),207.0,border road organization responsible building road himalaya huge height country perhaps build road the high altitude place always challenging tiring machine well human low oxygen level zero temperature eccentric nature colossal snow pile road unpredictable landslide factor affect human life area at one side himalaya quirky nature another side diverse people tremendous gut you always tussle nature human likewise tussle people different characteristic it one exciting story hero vishwanath civil engineer sacrifice highly paid job top company join border road organization doe vishwanath succeed achieving goal to find listen audiobook,3
"The Mahabharata, Volume 1",Bibek Debroy - translator,4.6,76.0,1382.0,1,duism (Books),1197.0,the mahabharata one greatest story ever told,2
Turtles All the Way Down,John Green,4.4,3531.5,683.0,1,Fiction on Mental Illness for Teens,431.0,penguin present audiobook edition turtle all way down john green read kate rudd,0
Screenwriting 101: Mastering the Art of Story,Angus Fletcher,-1.0,267.25,1171.0,1,ema & Broadcast (Books),764.0,whether want write script simply gain deeper appreciation great story see unfold screen professor angus fletcher show way screenwriting mastering art story professor fletcher professor english film the ohio state university brings personal scholarly perspective craft a screenwriter experienced in out process and key faculty member project narrative think tank devoted using cognitive science study effect story human mind professor fletcher offer unique insight storytelling neuroscientific literary perspective,2
The Art of Learning: An Inner Journey to Optimal Performance,Josh Waitzkin,4.4,887.5,836.0,1,Personal Success,475.0,josh waitzkin know mean top game a public figure since winning first national chess championship age nine waitzkin catapulted medium whirlwind teenager father book searching bobby fischer made major motion picture after dominating scholastic chess world ten year waitzkin expanded horizon taking martial art tai chi chuan ultimately earning title world champion how able reach pinnacle two discipline surface seem different i come realize i best tai chi chess say what i best art learning,3
Reminiscences of a Stock Operator (Wiley Trading Audio),Edwin Lefevre,4.6,793.5,233.0,2,Classic Literature,148.0,first published reminiscence stock operator fictionalized biography jesse livermore one greatest speculator ever lived now almost year later remains widely read highly recommended investment book ever written generation investor found teach investor year experience market they also discovered trading advice keen analysis market price movement ring true today,3
101 Panchatantra Stories,Om Books International,4.1,236.5,233.0,1,Short Stories (Books),146.0,the panchatantra collection short story india written year ago this collection story legendary collection the story inculcate moral value child subtle fun manner enjoy story plant animal converse human being,2
Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,4.6,307.5,836.0,1,ess Management,931.0,now nearing printing english translated language michael porter competitive strategy transformed theory practice teaching business strategy throughout world,3
HBR Guide to Office Politics,Harvard Business Review,4.4,96.5,501.0,330,ess Motivation & Self-Improvement,252.0,do let destructive drama sideline career,3
I Have No Secrets: Love in Times of Tinder,Shanaya Taneja,3.9,4.0,0.0,69,Adult Collections & Anthologies,18.0,jemma know murderer she know told,3
Learn Spanish with Innovative Language's Proven Language System - Level 2: Absolute Beginner Spanish: Absolute Beginner Spanish #51,Innovative Language Learning,-1.0,267.25,0.0,-1,",          5 star,        ,          (0%),        ,          ,            0%,          ,",17.0,congratulation you discovered fastest fun way learn language are ready discover secret language learning success simply use program find hundred thousand language learner like already discovered power system this program offer brand new way learn language you speaking first lesson fun easy use innovative method,3
Stories at Work,Indranil Chakraborty,4.6,206.0,879.0,1,ess Management,408.0,is way send impactful message people remember day is way influence people without pushing data analysis is effective way drive change organization,3
365 Stories from Around the World,Om Books International,4.0,22.0,668.0,2,Children's Traditional Stories (Books),493.0,the story around world treasure trove story around world right barren sand arabia icy cold polar region antarctica different era through book child travel know culture history different place sitting one place,2
"Live, Love and Laugh",Manjeet Sargam Chawla,4.3,88.0,668.0,390,Christianity (Books),321.0,are tired putting endless effort goal result sight,3
I Know Why the Caged Bird Sings: A BBC Radio 4 Dramatisation,Maya Angelou,4.7,5677.5,615.0,441,Biographies & Autobiographies (Books),68.0,a bbc radio dramatisation maya angelou poignant powerful autobiography starring adjoa andoh indie gjesdal pippa,3
Trading Beyond the Matrix: The Red Pill for Traders and Investors,Van Tharp,3.9,112.5,836.0,1,Personal Development & Self-Help,715.0,how transform trading result transforming,3
Behavioral Economics: When Psychology and Economics Collide,Scott Huettel,-1.0,267.25,1171.0,914,Textbooks & Study Guides,718.0,behavioral economics study decision making related theme valuation exchange interpersonal interaction using method psychology sociology neurology economics behavioral economics shed light one fundamental activity human life decision process in insightful lecture learn behavioral economist look decision making explore set key principle offer deep insight evaluate information integrate different factor make decision most important using illustration case study lecture offer practical tool understand pattern decision making purpose serve use knowledge make better satisfying decision,3
Secrets of Health from the Indian Kitchen,Ratna Rajaiah,4.5,4.0,836.0,2,g & Wellness,717.0,did know couple banana day lower blood pressure that sailor used eat potato fight scurvy that ayurveda considers rice perfect healing food that turmeric could property that urad dal aphrodisiac,3
The Republic,Plato,4.5,1725.0,99.0,2,Philosophy History,676.0,the republic greek πολιτεία politeia latin re publica socratic dialogue written plato around bc concerning justice δικαιοσύνη order character man it plato work proven one world influential work philosophy political theory intellectually historically,3
"Zero Limits: The Secret Hawaiian System for Wealth, Health, Peace, and More",Joe Vitale,4.4,889.0,703.0,1,ance,381.0,if seems like work hard never get anywhere maybe problem something within maybe limitation holding back come inside outside world zero limit present proven way break limitation achieve life ever dreamed,3
Summary of Principles: Life and Work: By Ray Dalio,In a Nutshell Publishings,4.3,34.0,132.0,1,Personal Development & Self-Help,56.0,summary principle life work ray dalio,3
Shane Warne: Audible Sessions: FREE Exclusive Interview,Robin Morgan-Bentley,4.0,1.0,0.0,70,Biographies of Authors,13.0,joining u audible studio talk latest book no spin my autobiography australian former international cricketer shane warne,3
The Magic of Believing: Original Classic Version,Claude M. Bristol,4.5,915.0,1774.0,497,Personal Development & Self-Help,431.0,originally published true masterpiece using power mind create anything want mystical motivating inspiring book present extraordinary program draw philosophy energy subconscious mind help individual achieve goal this book helped countless people attain personal professional goal appeal philosophy remains powerful tool change,3
The Buddha Said: Meeting the Challenge of Life's Difficulties,OSHO,4.45,33.5,469.0,503,Buddhist Philosophy & Practice,2157.0,osho one provocative spiritual teacher time present the sutra chapter scripture compiled first century ce chinese emperor two thousand five hundred year passed since buddha delivered sutra series based using modern idiom osho extract kernel buddha profound insight understanding present everlasting message contemporary listener manner lucid straightforward humorous,3
The Stranger,Albert Camus,4.1,47.0,467.0,398,Literature & Fiction for Teens,207.0,when young algerian named meursault kill man subsequent imprisonment trial puzzling absurd the apparently amoral meursault put little stock idea like love god seems trial less murderous action authority believe deficient character,3
To-Do List Formula: A Stress-Free Guide to Creating To-Do Lists That Work!,Damon Zahariades,4.4,486.5,233.0,924,Analysis & Strategy,155.0,finally discover create list work,3
"Bared to You: A Crossfire Novel, Book 1",Sylvia Day,4.3,8792.0,469.0,2,Women's Fiction,692.0,please note this audiobook contains graphic adult content,3
How to Do Nothing: Resisting the Attention Economy,Jenny Odell,4.3,370.0,645.0,2,Nature & Ecology,490.0,a galvanizing critique force vying attention personal information redefines think productivity reconnects u environment reveals distracted see world,3
Learn French: Word Power 101: Absolute Beginner French #33,Innovative Language Learning,3.4,423.0,0.0,-1,",            5 star,          ,            ,              36%,            ,",47.0,master french learn french word power this audiobook completely new way learn french vocabulary fast free start speaking french minute powerful learning method master book,3
Shunya: A Novel,Sri M,4.5,636.0,668.0,1,Contemporary Fiction (Books),423.0,he appears nowhere sleepy little neighbourhood suburban kerala he call shunya zero who a lunatic a dark magician a fraud or avadhuta enlightened soul,3
The Art of Letting Go,Rania Naim,4.4,241.0,351.0,720,Family & Relationships,96.0,we often struggle let people go especially made decision we question universe question question everyone around u never truly get answer letting someone go take time patience commitment actively stop relapsing thinking person the art letting go help understand let someone go move never look back,3
The Stranger in My Bed,Shanaya Taneja,3.7,273.0,233.0,346,Short Stories (Books),35.0,a new job beckons shanaya bangalore her bag packed set new life but want pamper enjoy coz last day delhi spent really good time,2
The Sherlock Holmes Collection,Arthur Conan Doyle,4.3,1872.0,99.0,1,Short Stories (Books),4064.0,sherlock holmes fictional detective late early century first appeared publication he creation scottish born author physician sir arthur conan doyle a brilliant detective holmes famous intellectual prowess renowned skillful use deductive reasoning somewhat mistakenly see inductive reasoning astute observation solve difficult case he arguably famous fictional detective ever created one best known universally recognizable literary character genre,3
Lift Me Up: Love in Times of Tinder,Shanaya Taneja,3.6,4.0,0.0,45,Adult Collections & Anthologies,20.0,one fateful evening shanaya get trapped elevator boyfriend her boyfriend simple bedroom lover but put position ca run away shanaya finally get chance fulfil desire plan use space fullest lifting pleasure together will able resist temptation get action,3
"The Indian Army: Reminiscences, Reforms & Romance",H. S. Panag,5.0,6.0,668.0,2,Textbooks & Study Guides,540.0,in essay comprise the indian army reminiscence reform romance lieutenant general panag examines burning question surrounding indian armed force exploitation nationalist intrusive medium projection army sole flag bearer patriotism obsession pakistan impending threat national security intense militarisation kashmir post abrogation article equal opportunity woman combat among issue,3
The Psychology Book: Big Ideas Simply Explained,DK,4.6,1055.5,1256.0,581,Textbooks & Study Guides,960.0,explore history theory concept psychology groundbreaking idea presented approachable style demystifies often daunting subject matter,3
The Godfather,Mario Puzo,4.6,2591.5,873.0,752,Contemporary Fiction (Books),1085.0,based life real people yet brutal shocking place almost impossible believe mario puza weave dark compelling narrative climax blistering showdown,3
Percy Jackson and the Last Olympian,Rick Riordan,4.75,3565.0,888.0,199,Children's Fantasy (Books),660.0,the fifth fantastic adventure percy jackson series available download complete unabridged audio,3
High Performance Habits: How Extraordinary People Become That Way,Brendon Burchard,4.6,1573.5,750.0,1,ess,635.0,these six habit make extraordinary,3
RSS: A View to the Inside,Walter Andersen,4.2,94.0,879.0,2,Political Structure & Processes,762.0,the rss influential cultural organization india today affiliate field varied politics education trade this audiobook fundamentally address three key question why rashtriya swayamsevak sangh rss affiliate expanded rapidly past year how evolved response india new socioeconomic milieu how rapid growth impact country politics policy,3
Enid Blyton's Holiday Stories,Enid Blyton,4.5,141.5,797.0,450,Fantasy & Magic for Children,277.0,a wonderful selection story read share from sandcastles beach enchanted step summer delightful character,2
Eat a Peach: A Memoir,David Chang,3.9,4.5,1005.0,349,g (Books),546.0,from chef behind momofuku star netflix ugly delicious intimate account making chef story modern restaurant world helped shape discovered success much harder understand failure,3
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,4.6,641.5,10378.0,400,Analysis & Strategy,375.0,a commemorative edition peter drucker timeless classic work leadership management foreword jim collins,3
The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,4.7,570.0,500.0,405,Workplace Culture,462.0,an international business expert help understand navigate cultural difference insightful practical guide perfect work personal life,3
Peppa Pig: Play Days,Ladybird,4.9,24.0,342.0,607,Children's Literature & Fiction (Books),40.0,penguin present audio download edition peppa pig play day ladybird read john sparkes come join peppa friend explore play collection newly recorded audio story based hit tv show peppa pig includes dialogue song sound effect show,2
You Can Achieve More,Shiv Khera,4.5,160.0,569.0,2,Personal Development & Self-Help,381.0,while often said person negative attitude helped also true person positive attitude stopped life obstacle course often become biggest obstacle positive attitude transformational,3
The Wind-Up Bird Chronicle,Haruki Murakami,4.4,1157.5,2719.0,1,Contemporary Fiction (Books),1566.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,4
Quidditch Through the Ages,J.K. Rowling,4.7,1143.5,652.0,640,Children's Sport (Books),190.0,a perennial wizarding world one popular book hogwarts school library quidditch through age contains ever need know history rule breaking rule noble sport quidditch packed fascinating fact definitive guide esteemed quidditch writer kennilworthy whisp chart game history early origin medieval mist queerditch marsh sport loved many wizard muggle family around world with comprehensive coverage famous quidditch team commonest foul development racing broom much sporting bible harry potter fan quidditch lover player whether weekend amateur seasoned chudley cannon holder,3
The BFG,Roald Dahl,4.6,2432.5,615.0,2,Fantasy & Magic for Children,264.0,brought penguin,4
Americanah,Chimamanda Ngozi Adichie,4.5,6227.5,827.0,2,Women's Fiction,1048.0,shortlisted bailey woman prize fiction,1
Rich Dad's Increase Your Financial IQ: Get Smarter with Your Money,Robert T. Kiyosaki,4.6,544.0,670.0,648,ess & Economics,512.0,in robert book rich dad poor dad stunned listener stating your house asset a howl protest went around world book went become international best seller one best seller new york time history,2
"Intuitive Eating: A Practical Guide to Make Peace with Food, Free Yourself from Chronic Dieting, and Reach Your Natural Weight",Evelyn Tribole,4.6,1373.0,492.0,2,Middle Eastern History (Books),254.0,find your intuitive eater within never diet again,3
Meri Jeevan Yatra (Hindi Edition),A. P. J. Abdul Kalam,4.6,533.5,501.0,2,Biographies & Autobiographies (Books),239.0,this product prabhat prakashan one leading publishing house india prabhat prakashan glorious history year publishing quality book almost stream literature viz child book fiction science quiz humanity personality development health dictionary encyclopedia etc for last year prabhat prakashan continuously winning accolade excellence book publication,3
"Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking",S.J. Scott,4.4,973.0,501.0,941,ess Motivation & Self-Improvement,196.0,feel overwhelmed thought struggling anxiety daily task or want stop worrying life the truth experience occasional negative thought but always feel overwhelmed need closely examine thought negatively impacting lifestyle,3
Vipassana Dhyan (Hindi),OSHO,-1.0,267.25,167.0,837,Personal Development & Self-Help,109.0,vipassana sabse kimti dhyan hai iski vidhi hai sirph baithkar shvas ko dekhte rahna yah pranayam nahi hai shvas ki naisargik gati ko sakshibhav se dekhna hi vipassana hai is tarh hi chitt ke sare rog tirohit ho jate hai sharir se sambandh tut jata hai ise aharnish kahi bhi kiya ja sakta hai,3
Inferno,Dan Brown,4.4,26231.5,1093.0,2,"Crime, Thriller & Mystery (Books)",1032.0,harvard symbologist robert langdon wake florence disoriented confused he remember got but international mystery take across europe save world terrifying fate must decipher code hidden renaissance artwork line dante inferno guide,3
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,4.6,623.5,1338.0,2,Historical Biographies,2103.0,john rockefeller history first billionaire patriarch america famous dynasty icon whose true nature eluded three generation historian now ron chernow national book biographer give u detailed insightful history mogul titan first biography based unrestricted access rockefeller exceptionally rich trove paper a landmark publication full startling revelation book indelibly alters image enigmatic capitalist,3
Pride and Prejudice,Jane Austen,1.75,9558.0,434.0,128,Historical Fiction (Books),695.0,one jane austen beloved work pride prejudice vividly brought life academy award nominee rosamund pike gone girl in bright energetic performance british classic expertly capture austen signature wit tone her attention detail literary background performance feature film version novel provide perfect foundation convey story elizabeth bennet four sister inimitable darcy,3
Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.6,1915.0,13442.0,2,Classic Literature,1089.0,winner bailey prize best best,1
The Qur'an: A New Translation by M. A. S. Abdel Haleem,M. A. S. Abdel Haleem - translator,4.6,2392.0,1003.0,632,Islam (Books),1155.0,read your lord most bountiful one taught pen taught man know,3
"My Sister, the Serial Killer",Oyinkan Braithwaite,4.2,2925.0,569.0,613,Women's Fiction,270.0,shortlisted woman prize fiction,1
Beach Read,Emily Henry,4.45,1540.5,888.0,1,Romance (Books),613.0,brought penguin,4
The Wealth of Nations,Adam Smith,4.7,15.0,2847.0,1,Theory & Philosophy,2518.0,the wealth nation first published first book modern political economy still provides foundation study discipline an enquiry nature cause wealth nation give full title immediate best seller since rightfully claimed place western intellectual canon it author adam smith one brightest star scottish enlightenment,3
The Wealth of Nations,Adam Smith,4.6,237.5,2185.5,3,United States History (Books),2203.0,the foundation modern economic thought political economy the wealth nation magnum opus scottish economist adam smith introduces world idea economics capitalism modern sense word smith detail argument five book,3
Alan Turing: The Enigma,Andrew Hodges,4.0,1161.5,1138.0,1,United States History (Books),1840.0,listed one essential book time the guardian,2
Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert Cialdini,4.5,770.0,888.0,919,Analysis & Strategy,564.0,brought penguin,4
A Fine Balance,Rohinton Mistry,4.5,1291.5,1673.0,1,Literary Fiction,1549.0,with compassionate realism narrative sweep recall work charles dickens magnificent novel capture cruelty corruption dignity heroism india the time the place unnamed city sea the government declared state emergency whose upheaval four stranger spirited widow young student uprooted idyllic hill station two tailor fled caste violence native village thrust together forced share one cramped apartment uncertain future,3
Ajaya Pason ka Khel,Anand Neelkantan,3.4,56.0,1338.0,664,Literature & Fiction (Books),1685.0,the mahabharata endures great epic india,3
The Secret Wish List,Preeti Shenoy,4.3,581.0,668.0,2,Anthologies (Books),462.0,doe true love really exist cliché can single kiss really change life,3
Alice's Adventures in Wonderland,Lewis Carroll,4.4,7567.5,333.0,2,Classic Fiction (Books),164.0,golden globe nominee scarlett johansson lost translation girl pearl earring brings palpable sense joy exuberance performance lewis carroll enduring classic alice adventure wonderland from white rabbit mad hatter cheshire cat queen heart imbues madcap character distinct voice personality leave lasting impression long adventure,3
Seven Brief Lessons on Physics,Carlo Rovelli,4.4,2231.5,615.0,142,Textbooks & Study Guides,105.0,penguin present unabridged downloadable audiobook edition seven brief lesson physic written read carlo rovelli these seven short lesson guide u admirable clarity scientific revolution shook physic century still continues shake u today,0
"The Blood of Olympus: Heroes of Olympus, Book 5",Rick Riordan,4.6,5735.5,888.0,2,Fantasy (Books),865.0,the unabridged downloadable audiobook edition the blood olympus fifth book hero olympus series set world percy jackson though greek roman crew member argo ii made progress many quest still seem closer defeating earth mother gaea her giant risen stronger ever the god still suffering multiple personality disorder useless how handful young demigod hope persevere gaea army powerful giant a dangerous head athens option they sacrificed much already and gaea wake game,3
"How to Analyze People: The Complete Psychologist’s Guide to Speed Reading People - Analyze and Influence Anyone Through Human Behavior Psychology, Analysis of Body Language and Personality Types",Brandon Cooper,3.2,30.0,233.0,2,Personal Development & Self-Help,103.0,analyze influence anyone instantly,3
"How to Analyze People: The Ultimate Guide to Speed Reading People Through Behavioral Psychology, Analyzing Body Language, Understand What Every Person is Saying Using Emotional Intelligence, Dark.",Robert Leary,3.1,9.0,501.0,1,Textbooks & Study Guides,183.0,if always wanted learn read people like book understand human behavior keep reading,3
One Night at the Call Centre,Chetan Bhagat,4.1,1111.5,683.0,2,Contemporary Fiction (Books),453.0,a comedy romance crossed line,3
Retrain Your Brain: Cognitive Behavioral Therapy in 7 Weeks: A Workbook for Managing Depression and Anxiety,Seth J. Gillihan PhD,4.1,109.0,585.0,1,Textbooks & Study Guides,257.0,for many cognitive behavioral therapy cbt proved tipping point treatment finally able make significant change break free anxiety depression,3
"The Circadian Code: Lose Weight, Supercharge Your Energy and Sleep Well Every Night",Dr. Satchidananda Panda,4.6,156.5,888.0,991,g & Wellness,534.0,random house present audiobook edition the circadian code dr satchidananda panda,0
Practical Female Psychology: For the Practical Man,Joseph South,4.5,21.5,668.0,3,Family & Relationships,392.0,practical female psychology unique examination woman relationship era material equality sex despite vast gain welfare woman especially modern west men woman finding relationship ranging dating marriage increasingly difficult the author draw upon science evolutionary biology neuropsychology well vast personal experience woman distill simple practical principle men find useful creating maintaining relationship emotionally compatible woman,3
"Training the Mind, Healing the Body: A Complete Course for Holistic Health and Well Being",Dr. Deepak Chopra,-1.0,267.25,2008.0,2,g & Wellness,853.0,training mind healing body transforming life,3
And the Mountains Echoed,Khaled Hosseini,4.3,10971.5,836.0,2,"Crime, Thriller & Mystery (Books)",840.0,an unforgettable novel finding lost piece someone else,3
Big Little Lies,Liane Moriarty,4.6,18097.5,930.0,2,Mysteries,955.0,originally published little lie,3
